student_id,Student_Name,Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Previous_Scores,Internet_Access,Tutoring_Sessions,Family_Income,Peer_Influence,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,result
1001,John Smith,8,95,High,High,78,Yes,5,85000,Positive,No,Graduate,2,Male,Pass
1002,Emily Johnson,4,65,Low,Medium,45,Yes,1,40000,Negative,No,High School,8,Female,Fail
1003,Sarah Williams,7,85,Medium,High,67,Yes,3,65000,Positive,No,College,5,Female,Pass
1004,Michael Brown,3,55,Low,Low,40,No,0,25000,Negative,Yes,High School,12,Male,Fail
1005,Jessica Davis,9,90,High,High,85,Yes,4,95000,Positive,No,Post Graduate,1,Female,Pass
1006,David Miller,5,70,Medium,Medium,58,Yes,2,55000,Neutral,No,College,7,Male,Pass
1007,Jennifer Wilson,2,45,Low,Low,35,No,0,20000,Negative,Yes,Middle School,15,Female,Fail
1008,Robert Taylor,6,80,Medium,High,72,Yes,3,70000,Positive,No,College,3,Male,Pass
1009,Lisa Anderson,4,60,Low,Medium,50,Yes,1,45000,Neutral,No,High School,10,Female,Fail
1010,James Thomas,7,85,High,Medium,76,Yes,4,80000,Positive,No,Graduate,4,Male,Pass
1011,Sophia Martinez,9,92,High,High,88,Yes,6,92000,Positive,No,Post Graduate,1,Female,Pass
1012,Daniel Garcia,3,58,Low,Low,42,No,0,30000,Negative,Yes,High School,11,Male,Fail
1013,Olivia Rodriguez,6,78,Medium,Medium,65,Yes,2,60000,Neutral,No,College,6,Female,Pass
1014,Matthew Lopez,5,72,Medium,High,70,Yes,3,68000,Positive,No,Graduate,4,Male,Pass
1015,Emma Lee,2,48,Low,Low,38,No,1,22000,Negative,Yes,Middle School,14,Female,Fail
1016,William Harris,8,88,High,High,82,Yes,5,88000,Positive,No,Post Graduate,2,Male,Pass
1017,Ava Clark,4,62,Low,Medium,48,Yes,1,42000,Neutral,No,High School,9,Female,Fail
1018,Christopher Lewis,7,82,Medium,High,75,Yes,4,75000,Positive,No,Graduate,3,Male,Pass
1019,Isabella Walker,3,52,Low,Low,36,No,0,26000,Negative,Yes,Middle School,13,Female,Fail
1020,Andrew Hall,9,94,High,High,90,Yes,6,98000,Positive,No,Post Graduate,1,Male,Pass
1021,Mia Allen,5,68,Medium,Medium,56,Yes,2,52000,Neutral,No,College,8,Female,Pass
1022,Ethan Young,2,50,Low,Low,39,No,0,23000,Negative,Yes,High School,12,Male,Fail
